Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
247,Columbine,Aquilegia spp.,Ranunculaceae,Perennial,"15-20 in. tall, 12-18 in. spread","Full, partial",Moist but well-drained soil,"Acidic, neutral","Spring, summer","Blue, orange, pink, purple, red, white, yellow",,"Europe, North America",Toxic to people and pets
248,Columbine,Aquilegia spp.,Ranunculaceae,Herbaceous perennial,"1-3 ft. tall, 1-2 ft. wide",Full or partial,"Sandy, loamy, moist but well-drained",Neutral to slightly acidic,Spring to summer,"Red, orange, yellow, blue, purple, violet, pink, white",Zones 3 to 8,"North America, Europe, Asia",Toxic to humans
249,,Symphytum officinale,Boraginaceae,"Herbaceous, perennial","12-36 in. tall, 9-30 in. wide","Full, partial","Loamy, well-drained",Neutral,Spring,"Purple, pink, cream, white","4, 5, 6, 7, 8","Europe, Asia",Toxic to humans and animals
250,,Lamprocapnosspectabilis (formerlyDicentra spectabilis),,Herbaceous perennial flower,,,,,,,,,"Toxic to people, toxic to pets"
251,"Common hazel, hazenut tree",Corylus avellana,,Deciduous shrub or small tree,"20 ft. tall, and 10 ft. wide",Full sun to part shade,"Moist, organically rich, well-drained",Adaptable,Early spring,Yellow and brown (Male),"4-8, USDA",Europe and Western Asia,
252,Common hollyhock,Alcea rosea,Malvaceae,"Biennial, Herbaceous","6-8 ft. tall, 1 to 2 ft. wide",Full sun,"Moist, Well-drained","Acid, Neutral, Alkaline",Summer,"White, Pink, Red, Yellow, Lavender","2-10, USA",Turkey,
253,,Lonicera periclymenum,,Deciduous shrub with a vine-like growth habit,,,,,,,,,
254,"English ivy, common ivy, European ivy",Hedera helix,Araliaceae,"Perennial, evergreen climbing vine",N/A; climbs and spreads as much as possible,Part shade to full shade,Fertile and moist,Neutral to slightly alkaline,Fall,"Greenish-white, greenish-yellow",4-13 (USDA),"Europe, Scandinavia, Russia",Toxic to people and pets
255,Common Quince,Cydonia oblonga,,Tree,12-15 ft. tall 9-12ft. wide,Full Sun,"Fertile, Moist, Good Drainage",Acidic,April-May,Pale Whilte To Pink,,West Asia,
256,"Rue, common rue, garden rue, herb of grace",Ruta graveolens,Rutaceae,"Perennial, herb",,Full sun,Well-drained,"Acidic, neutral, alkaline (6.5 to 8.5)",Summer,,4-10 (USDA),Europe,"Toxic to people, toxic to pets"
257,,Tanacetum vulgare,,Herbaceous perennial flowering plant,"2 to 4 feet tall, 12- to 18-inch spread",Full sun to part shade,"Well-drained, fertile soil",4.8 to 7.5,July and August,Yellow,3 to 8 (USDA),"Temperate regions of Europe and Asia, naturalized over much of North America","Toxic to humans, dogs, cats, and livestock."
258,"Coneflower, echinacea",Echinacea 'Firebird',,"Herbaceous, perennial",36 inches in height with a 36-inch spread,"Full, partial","Well-drained, sandy, clay, loamy",6.5 to 7.0,June through October,Reddish-orange,4 to 8 (USDA),North America,
259,,Corylus avellana 'Contorta',,Deciduous flowering shrub,8-10 ft. tall and wide,"Full, partial","Loamy, moist, well-drained",Neutral to acidic,Early to mid-spring,Yellowish-brown catkins on male flowers; female flowers are nondescript,4-8 (USDA),"Asia, Europe",
260,"Coral bean, red cardinal, cardinal spear, mamou plant",Erythrina herbacea,,"Perennial, shrub",8-10 feet tall,"Full, partial","Sandy, well-drained",5.4 to 7.6 (acidic to neutral),Spring,Red,8-11 (USDA),"North America, Central America",Toxic to humans and pets
261,"Coral bells, alumroot",Heuchera,,Herbaceous perennial,"8-18 in. tall, 12-24 in. wide","Full sun, partial shade","Rich, moist but well-drained",Neutral to acidic,Summer,"Red, white, coral, pink, orange",4-8 (USDA),North America,
262,"Coral honeysuckle, trumpet honeysuckle",Lonicera sempervirens,,"Evergreen, perennial, vine","15-25 ft. tall, 15-25 ft. wide","Full, partial","Loamy, sandy, clay, well-drained","Acidic, neutral","Spring, summer","Red, pink, orange, yellow","4-11, USA",North America,Toxic to pets
263,"Cordyline, Hawaiian ti plant, good luck plant",Cordyline terminalis,Asparagaceae,Evergreen shrub,2-4 ft. tall and wide,"Full-sun, partial sun",Well-draining,"Neutral to acidic, 6-6.5",Summer,"White, pink, lavender",9-12 (USDA),"Pacific Islands, Southeast Asia",Highly toxic to dogs and cats
264,"Mâche, corn salad, lamb's lettuce, field lettuce",Valerianella locusta,,Herbaceous annual,,Full sun to part shade,"Well-draining, rich",Slightly acidic to neutral (6.5-7.0),,,5-8; grown as an annual in zones 2-10 (USDA),"Europe, North Africa, Western Asia",
265,Corsican mint,Mentha requienii,,Perennial,1/4 in. tall,Full sun to part shade,Well-drained,5.6 to 7.0 (acidic to neutral),June through August,Light purple,7 to 11 (USDA),"Sardinia, Corsica, Italy, France",Toxic to dogs in large amounts
266,"Cosmos, Mexican aster, cut-leaf cosmos","Cosmos sulphureus,Cosmos bipinnatus",Asteraceae,Annual,"1-6 ft. tall, 1-3 ft. wide",Full,Well-draining soil,6.0-6.8 (Acidic),Summer through fall,"Golden yellow, white, pink, magenta, orange, yellow, red, chocolate",2-11 (USDA),"northern South America, Central America, and southern North America",
267,"Cota tinctoria, golden marguerite, yellow chamomile",Anthemis tinctoria,,Perennial,2 to 3 feet tall and 1 to 1.5 feet wide,Full sun,Average to dry,Neutral to alkaline,Summer,Yellow,3 to 7,Europe,"Potentially toxic to cats, dogs, and horses based on toxicity of other anthemis varieties"
268,"Creeping bellflower, rampion bellflower",Campanula rapunculoides,,Herbaceous perennial,"2-4 ft. tall, 1-3 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,July to September,"Lavender, purple",3-9 (USDA),Europe,
269,Creeping mazus,Mazus reptans or Mazus miquelii,Mazaceae,Herbaceous perennial,"2-3 in. tall, 6-12 in. wide","Full, partial","Moist, well drained",Acidic to alkaline (5.5-8.0),Summer,White to blue-violet,5-8 (USDA),Central Asia (Himalayas),
270,"Creeping phlox, moss phlox, star rock phlox",Phlox stolonifera,Polemoniaceae,"Herbaceous, perennial","6-12 in. tall, 9-18 in. wide","Full, partial","Loamy, well-drained","Acidic, neutral, alkaline","Spring, summer","Purple, pink, white","5-9, USA",North America,
271,"Creeping Speedwell, Slender Speedwell",Veronica filiformis,Plantaginaceae,"Perennial, groundcover","2-5 in. tall, 20-30 in. wide","Full, partial","Loamy, sandy, clay, moist but well-drained",Neutral,"Spring, summer","Pink, blue, purple","3-9, USA","Europe, Asia",
272,Creeping thyme,Thymus spp.,Lamiaceae,Herbaceous perennial,"2-6 in. tall, and 6-18 in. wide (depending on type)",Full sun,"Well-drained, loose, rocky, sandy",Neutral,Summer,"Pink, white, purple","4 to 9, USDA (depending on variety)",Europe,
273,"Creeping zinnia, Mexican creeping zinnia",Sanvitalia procumbens,Asteraceae,Herbaceous annual,"4-6 in. tall, 12-18 in. wide",Full to part sun,Well-drained,Acidic to slightly alkaline (5.5-7.5),Summer,"Yellow, orange","2-11 (true annual, grown in all zones)","Central America (Mexico, Guatemala)",
274,Crepe Myrtle,Lagerstroemia indica,,Deciduous tree / large shrub,"6-25 ft. tall, 6-20 ft. wide",Full sun,"Average, medium moisture, well-drained",6.0-6.5,July-September,Red-rose,USDA 6-9,"China, Indochina, Himalayas, Japan",
275,Crocodile fern,Microsorum musifolium,,Houseplant or perennial,2-5 ft. tall and wide,"Bright, indirect late to shade","Rich, moist, well-draining",Slightly acidic to neutral,,,10-11 (USDA),Southeast Asia and Australia,
276,Crocus,Crocus spp.,,Perennial bulb,"6 inches tall, 1 to 3 inches wide",Full sun to part sun,Any well-draining soil,Neutral (6.0 to 7.0),Spring,"Purple, blue, yellow, orange, pink, white",3 to 8 (USDA),"Europe, North Africa, Asia",Toxic to pets
277,"Crossandra, firecracker flower",Crossandra infundibuliformis,Acanthaceae,"Annual, perennial","1-3 ft tall, 1-2 ft wide",Partial shade,"Rich, loamy, well-draining",Acidic,"Spring, summer, fall","Orange, pink, red",10-11 (USDA),South Asia,
278,"Croton, garden croton",Codiaeum variegatum,Euphorbiaceae,Evergreen shrub,"3 to 8 ft. tall, 3 to 6 ft. wide","Full, partial","Moist, well-draining",Acidic (4.5 to 6.5),"Year-round, although indoor plants rarely flower",Yellow,11a-12b USDA,Tropical Asia and Pacific regions,Toxic to humans and animals
279,,Glebionis coronaria,Asteraceae,Annual,"2 to 4 ft. tall, 1 to 2 ft. wide","Full sun, part shade","Sandy, clay, silt, loam, well-drained",Acidic to alkaline (6.1 to 7.8),Summer,Yellow and white,"5-9, USA",Mediterranean,
280,,Fritillaria imperialis,,Perennial bulb,"One to three feet tall, eight to 12 inches wide",Full sun to part shade,Well-drained sandy or perlite soil,"Acid, neutral and basic (alkaline)",Mid-spring,"Red, orange, yellow","5, 6, 7, 8, 9",Asia and Middle East,Bulb is toxic to humans and pets
281,"Cryptanthus bromeliad, cryptanthus, earth star",Cryptanthus spp.,,Terrestrial bromeliad,3 inches to 3 feet (varies by species),Bright indirect light; resents direct sunlight,Bromeliad potting mix,4.0-6.0 (acidic),Blooms once only,White (but generally grown for foliage),10-11 (USDA),Brazil,
282,"Cucamelon, mouse melon, Mexican sour gherkin, sandita",Melothria scabra,Cucurbitaceae,"Annual, fruit",,Full sun,,,"Spring, summer",,,Central America,
283,,Cucumis sativus,,Annual,"9 to 18 inches tall, 3 to 8 feet wide",Full sun to partial shade,"Rich, well-draining",Acidic to neutral (5.5 to 7.0),Seasonal,Yellow,4 to 11 (USDA),Asia,
284,,Magnolia acuminata.,,Tree,50-80 feet,Full sun/ Part Shade,"Moist, well-drained soil",Acidic,April to May,Greenish yellow,8-Apr,,
285,,Cobaeascandens,,Perennial vine (typically grown as an annual),"10-20 ft. long, 3-6 ft. wide",Full sun,Moist but well-drained,Neutral to acidic,"Spring, summer","Green, maturing to purple",9-11 (USDA),Mexico,
286,"Nierembergia, cupflower",Nierembergia spp.,Solanaceae,Tender perennial usually grown as an annual,"6-30 in. tall, 6-18 in. wide (varies by species)","Full, partial","Rich, moist but well-drained",Acidic to alkaline (6.0 to 8.0),Mid-summer to early fall,"Blue, purple, white",7-10 (USDA),South America,Possibly toxic to grazing animals
287,"Cyclamen, florist's cyclamen, Persian cyclamen, Persian violet",Cyclamen persicum,Primulaceae,Perennial,6-9 in. tall and wide,Partial,"Loamy, moist, well-drained",Acidic,Fall to spring,"Pink, white, red, violet","9-11 (USDA), but typically grown as a houseplant",Mediterranean,Toxic to people and pets
288,"Cypress vine, red cypress vine, Indian pink, star glory, hummingbird vine",Ipomoea quamoclit,,Annual vine,"6-15 ft. in length, spread of 3-6 ft.",Full sun,"Fertile, well-drained, and kept evenly moist",Neutral to slightlyacidicor slightlyalkaline,June to October,"Red; less commonly, pink or white",11-12 (USDA),Tropical America,Toxic to people and pets
289,"Daffodil, narcissus",Narcissus,,Bulbous perennial,"6-30 in. tall, 6-12 in. wide","Full sun, partial shade","Rich, moist but well-drained",Neutral to acidic,Spring,"Yellow, white, orange, red, pink",4-8 (USDA),"Europe, North Africa",Toxic to dogs and cats
290,Dahlia,Dahlia,Asteraceae,Herbaceous perennial in USDA zone 8 and higher; annual in cooler climates,"1-6 feet tall, and 1-3 feet wide",Full sun,"Loamy, moist but well-drained",Neutral to acidic (5.0-7.0),Late summer and fall,"Every color except true blue, true black, and green","8-10, USA","Central America, Mexico",Toxic to dogs and cats
291,Dahoon holly,Ilex cassine,Aquifoliales,Broadleaf evergreen tree,"20-30 ft. tall, 10-15 ft. wide","Full, partial",Moist but well-drained,Acidic to neutral (5.5-7.0),Spring to early summer,"White (female), greenish white (male)",7-11 (USDA),North America (southeastern U.S.),"Mildly toxic to humans, and to cats, dogs, and horses"
292,"Dalmatian bellflower, Adria bellflower, wall bellflower",Campanula portenschlagiana (formerly known as C. muralis),Campanulaceae,"Herbaceous, perennial, flower","3-6 in. tall, 6-12 in. wide","Full, partial",Moist but well-drained soil,"Neutral, alkaline",Spring,"Violet, blue","4, 5, 6, 7, 8",Mediterranean,
293,Damianita daisies,Chrysactinia mexicana,,Perennial,"1-2 ft. tall, 1-2 ft. wide",Full,Well-drained,"Acidic, neutral to acidic, alkaline","Spring, summer, fall",Yellow,"8, 9, 10 (USDA)","Mexico, Southwestern United States",
294,Daphne,"Daphne spp., Daphne x hybrids",,Broadleaf evergreen shrub,"1-5 feet tall, 2-6 feet across (depends on variety)",Full sun to part shade,"Moist, well-draining soil",5.5-6.4 (slightly acidic),Spring,White to light pink,4-9 (USDA),"Europe, Asia, Africa",Toxic to humans and pets
295,Darjeeling banana,Musa sikkimensi,,"Herbaceous perennial, often grown as a houseplant",12-15 feet tall,Full sun to part shade,"Rich,well-draining",Slightly acidic to neutral,Summer,Deep red or purple,5-9 (USDA),"Asia (Bhutan, India)",
296,Date palm,Phoenix dactylifera,Arecaceae,Tree,,Full sun,"Sandy, loamy, well-drained","Acidic, neutral, alkaline",Spring,,8-11 (USDA),"Africa, Middle East",
297,Dawn redwood,Metasequoia glyptostroboides,Cupressaceae,Tree,75-100 ft. tall,Full,"Loamy, well-drained",Acidic,,,4-8 (USDA),Asia,
298,,Hemerocallisspp.,Liliaceae,Herbaceous perennial,"8 in. to 5 ft. tall, 2-4 ft. wide",Full sun (tolerates part shade/light woodland),Deep fertile medium loamy soil (tolerates light sandy or heavy clay),Acidic,Spring to late summer,"Red, orange, yellow, purple, pink","3-10, USA",Asia and Central Europe,Toxic to cats
299,"Deodar Cedar, Himalayan Cedar",Cedrus deodara,,Evergreen coniferous tree,"40 to 70 feet tall, 20 to 40 feet wide",Full sun,"Loamy, moist, sandy, clay, well-drained",Slightly acidic (adapts to neutral and slightly alkaline soils),Non-flowering,Non-flowering,7 to 9 (USDA),Western Himalayas,
300,,,Apocynaceae,,,Full,,Neutral to acidic,,,,,"Toxic to humans, toxic to pets"
301,"Purple sage, tobacco sage, desert sage",Salvia dorrii,,Herbaceous perennial shrub,"1-3 ft. tall, 2-4 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline","Spring, summer","Purple, blue",6-10 (USDA),Western United States,
302,,,,Deciduous Shrub,12-18 ft. tall -12-18 ft. wide,Full sun,Dry to medium moisture,6.6-8.5,May to June,Dark pink,USDA 6-9,Southwestern United States and Mexico,
303,"Baby's-breath euphorbia, graceful spurge, diamond frost euphorbia",Euphorbia hypericifolia,,Evergreen perennial (also grown as an annual),"1-2 ft. tall, 1-2 ft. wide","Full sun, partial shade","Loamy, well-drained",Neutral to acidic,"Late spring, summer",White,10-11 (USDA),North America,Toxic to dogs and cats
304,,"D. plumarius, D. superbus, D. deltoides",,Perennial,"6-36 in. tall, 6-24 in. wide",Full sun,Moist but well-drained,Neutral to acidic,"Spring, summer, fall","White, lilac, red, pink","3-9, USA","Europe, Asia, Africa",Toxic to pets
305,,Dieffenbachia spp.,Araceae,Herbaceous perennial (usually grown as a houseplant),"3-10 ft. tall, 2-3 ft. in width",Part shade or bright indirect light,"Peaty, well-drained potting soil",6.1-6.5 (slightly acidic),Seasonal bloomer,White,10-12 (USDA),"Caribbean, South America","Toxic to people, dogs, and cats"
306,,Rosa canina,,Shrub,,,,,,,,,
307,"Dr. Ruppel clematis, Doctor Ruppel clematis, Dr. Ruppel virgin's bower",Clematis Dr. Ruppel,,Deciduous perennial flowering vine,12 feet tall,Full sun to partial sun,"Fertile, well-drained, and kept evenly moist",Neutral,June,Pink,4 to 8,Several regions across both the Northern Hemisphere and Southern Hemisphere,
308,"Dragon lily, Voodoo lily, Stink lily, Black lily, Snake lily",Dracunculus vulgaris,,Perennial,4 to 6 ft. tall,Full sun to partial shade,"Rich, moist, well-draining",Neutral,"Late spring, early summer",Purple-black or deep maroon,"7 to 10, USA","Algeria, Southeast Europe, Turkey",
309,,Dracaena marginata,Asparagaceae,Broadleaf evergreen,"15-20 ft. tall, 3-10 ft. wide","Full sun, partial shade","Loamy, well-drained",Neutral to acidic,Spring (rarely flowers indoors),White,10-12 (USDA),Madagascar,"Toxic to dogs, toxic to cats"
310,"Dragon tree, dragon's blood plant, drago",Dracaena draco,,Broadleaf evergreen tree,15-50 feet (but very slow-growing),Full sun to part shade,"Any well-drained, porous soil",6.0-6.5 (slightly acidic),Begins producing a single flower after 10-15 years,White,9-12 (USDA),"The Canary Islands, northwest coastal Africa",Mildly toxic to animals
311,"Dragon fruit, pitahaya, strawberry pear, Honolulu queen, moonlight cactus",Hylocereus undatus,,Cactus,"10-20 ft. tall, 5-10 ft. wide","Full sun, partial shade","Sandy, well-drained",Neutral to acidic,"Spring, summer, fall, winter",White,10-12 (USDA),"Mexico, Central America, South America",
312,"Common Duckweed, Lesser Duckweed","Lemna minor (Previously known as Lemna cyclostasa, Lemna minima)",,Aquatic plant,"Starts 1/16 to 1/8 of an inch long, rapidly spreads, potentially invasive",Full sun,,,Summer (if it blooms),Green,"4-10, USDA","Central America, North America except Hawaii and South Carolina",
313,Liveforever,Dudleya,Crassulaceae,"Succulent, perennial","24 in. tall, 18 in. wide","Full, Partial","Sandy, well-drained","Acidic, Neutral, Alkaline",Spring,"Red, Pink, Yellow","5-11, USA","North America, Central America",
314,"Duranta plant, duranta, golden dewdrops, sky flower, pigeon berry",Duranta erecta,,Tropical broadleaf evergreen shrub,"2-4 ft. tall, 1-2 feed wide (when grown as an annual); up to 18 feet tall as a perennial in warm-winter zones.",Full,Rich loam; tolerates rocky soil,Acidic to slightly alkaline (5.6—7.5),Spring through frost,"Blue, violet, white",10—11 (USDA),Central and South America,Leaves and berries are toxic to humans and pets
315,"Dusty miller, silver dust, silver ragwort",Jacobaea maritima,Asteraceae,"Perennial, often grown as annual",1-2 ft. tall and wide,Full sun,"Average, well-drained",Acidic (5.5 to 6.0),Summer,Yellow,"8-11, USA",Mediterranean,"Toxic to humans, toxic to pets"
316,"Dutch iris, Dutch hybrid group, fleur de lis",Iris × hollandica,,Bulb,"1.5 to 2 feet tall, with a spread of 1/4 to 1/2 foot wide",Full sun,"Well-drained, moist","Mildly acidic, neutral, mildly alkaline",Spring,"Most commonly blue, bluish-purple, white, yellow",5 to 9 (USDA),Europe,
317,Dutchman's breeches,Dicentra cucullaria,,Herbaceous perennial,"6-12 in. tall, 6-12 in. wide","Partial shade, full shade",Moist but well-drained,Neutral to acidic,Spring,"White, pale pink",3-7 (USDA),North America,"Toxic to humans, dogs, and cats"
318,"Dutchman's pipe vine, pipe vine",Aristolochia macrophylla,,Vine,"15-30 ft. tall, 15-20 ft. wide","Full, partial",Moist but well-drained,Neutral to acidic,Summer,"Yellow, green, purple",4-8 (USDA),North America,
319,,Piceaglauca'Conica',Pinaceae,Evergreen conifer tree,"10 to 13 feet tall, 7- to 10-foot spread",Full sun,"Moist, well-drained soil",4.7 to 7.0 (acidic to neutral),Non-flowering,Non-flowering,3 to 8 (USDA),North America (Canada and the northern U.S.),
320,"Northern bush honeysuckle, bush honeysuckle",Diervilla lonicera,Caprifoliaceae,Deciduous shrub,"2-3 ft. tall, 2-4 ft. wide","Full, partial","Fertile, well-drained",Slightly acidic to neutral (6.0 to 7.0),Summer,Yellow-orange,3-10 (USDA),North America,
321,'Early Harvest' apple,Malus domestica,Rosaceae,Deciduous fruit tree,"25 ft. tall, 25 ft. wide (dwarf varieties also available)",Full,Moist but well-drained,Slightly acidic to neutral (6.0 to 7.0),"Spring, summer","White, pink",3-8 (USDA),North America,
322,"Easter lily, trumpet lily, Bermuda lily",Lilium longiflorum,Liliaceae,"Perennial, bulb","2-3 ft. tall, 1 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral",Summer (Late June through August),White,4-8 (USA),"Southern Japan, Taiwan",Toxic to cats
323,Eastern Cottonwood,Populusdeltoides,,Deciduous tree,"50 to 80 ft. tall, 50 to 80 ft. wide",Full sun,"Average, Medium to Wet, Well-drained",Adaptable,March to April,"Green (Female), Red (Male)",USDA zones 2-9,Eastern and central North America,
324,Eastern or Canadian hemlock,Tsuga canadensis,,Evergreen conifer,70 ft. tall with a spread of 25 to 35 ft.,Full to partial shade; tolerates full sun in cold northern climates,Rich and moist,Acidic,,,3 to 7 (USDA),Eastern North America,
325,Eastern white pine,Pinus strobus,Pinaceae,Needled evergreen tree,"50-80 ft. tall, 20-40 ft. wide",Full sun to part shade,"Moist, well-drained",Acidic (5.5 to 6.5),,,3-8 (USDA),"Southeastern Canada, eastern U.S.",
326,Mexican peacock echeveria,Echeveria peacockii,,Succulent,6 inches wide,"Full, partial","Sandy, well-drained",Acidic,"Spring, summer",Pink,"9b, 10a, 10b, 11a, 11b",Mexico,
327,Edelweiss,Leontopodium alpinum,Asteraceae,Perennial,"6 to 12 inches tall, 8 inches wide",Full to partial sun,"Well-drained, gritty soil",Neutral,Late spring through summer,White,"4-7, USDA",Steppe region of Asia,
328,"Papyrus, Egyptian papyrus, King Tut's grass",Cyperus papyrus,,"Perennial reed, sedge","5-8 feet tall, 3-4 feet wide",Full sun to part shade,Wet boggy soil,6.0 to 8.5 (acidic to alkaline),Mid- to late summer,Greenish-brown (flowers are insignificant),,Africa,
329,"Elecampane, horse heal, elfdock",Inula helenium,,Perennial herb,"3-6 feet tall, 2-3 feet wide",Full sun to part shade,Any well-drained soil,6.5-7.5 (neutral),Summer to fall,Yellow,3-7 (USDA),Eurasia; naturalized in North America,
330,"Dwarf jade, elephant bush, miniature jade, small-leaf jade",Portulacaria afra,Didiereaceae,"Succulent evergreen shrub, houseplant",Up to 15 ft. tall as a native plant (but normally grown as a much smaller houseplant),"Full, partial","Cactus/succulent potting mix, or sandy, gravelly garden soil",Slightly acidic (5.6 to 6.5),Late spring to early summer (flowers are indistinct),"White, pink",9-11 (USDA),South Africa,
331,"Emerald green arborvitae, Smaragd arborvitae, American arborvitae",Thuja occidentalis,Cupressaceae,Needled evergreen,"12-20 ft. tall, 3-10 ft. wide","Full sun, partial shade",Moist but well-drained,"Acidic, alkaline",Does not bloom,Does not bloom,2-7 (USDA),North America,"Toxic to people, toxic to cats, dogs, and pets"
332,"Empress Tree, Royal Paulownia, Foxglove Tree",Paulownia tomentosa,,,"30 to 40 ft. tall, 30 to 40 ft. wide",Full sun,Adaptable,Adaptable,April,Lavender,"5-8, USA",,
333,Endless Summer hydrangea,Hydrangea macrophylla Endless Summer,Hydrangeaceae,Deciduous flowering shrub,Typical size is 3 to 5 ft. tall and wide,Partial sun to partial shade,"Loamy, moist, well-drained",Acidic to alkaline (4.5 to 7.5),"Spring, summer","Pink, purple. blue, red, white","4-9, USDA","Cultivar, no native range","Toxic to people, dogs, cats, and horses"
334,"English daisy, common daisy, lawn daisy",Bellis perennis,,Biennial,"6-12 in. tall, 6-12 in. wide",Partial,"Loamy, moist","Acidic, neutral to acidic, slightly alkaline","Spring, early summer",,4-8 (USDA),Europe,
335,"Common daisy, lawn daisy, English daisy",Bellis perennis,,Biennial,"3 - 6 in. tall, 3 - 9 in. wide",Full sun to partial shade,"Moist, well-draining","Acidic, neutral, alkaline",Spring to summer,"White, pink, red","4 to 8, USA",Europe,Toxic to pets and people
336,"English hawthorn, smooth hawthorn",Crataegus laevigata,Rosaceae,Deciduous shrub or small tree,"6-25 ft. tall, 5-25 ft. wide (depends on variety)",Full,"Dry, well-drained loam; tolerates most soils",Slightly acidic to slightly alkaline (6.0 to 7.5),"Spring, summer","White, pink, red",4-8 (USDA),"Europe, Africa",
337,"English lavender, true lavender, common lavender",Lavandula angustifolia,Lamiaceae (mint),Herbaceous flowering perennial,"2-3 ft. tall, 2-4 ft. wide",Full sun,"Sandy, gritty, dry to medium, well-drained",Neutral (6.7 to 7.3),Midsummer,"Dark or light purple is most common, but hybrid colors also available in lavender, violet-blue, white, and pink",5-8(USDA),Mediterranean,Toxic to animals
338,"English oak, truffle oak, pedunculate oak",Quercus robur,Fagaceae,Deciduous tree,"40-60 ft. tall, 40-70 ft. wide",Full,"Loamy, moist, well-drained",Acidic to mildly alkaline(5.0 to 8.0),,,4-8 (USDA),"Africa, Asia, Europe",Mildly toxic to people and animals
339,"Thyme, Common Thyme, Garden Thyme, English Thyme",Thymus vulgaris,,Herbaceous perennial,,Full sun,"Loamy, sandy",Acidic to alkaline (6.0 to 8.0),,,5 to 9 (USDA),Mediterranean,
340,English Walnut,Juglans regia,,Deciduous Tree,"40-60 ft. tall, 40-60 ft. wide",Full Sun,"moist, organically rich, well-drained",6.0-6.5,May to June,Yellow-Green,USDA 3-7,Europe to Central Asia,
341,Estragon,Artemisia dracunculus (Sativa subspecies),,Perennial herb,24 inches,Part Sun/Part Shade,"Sandy, well-drained",Neutral (6.5 to 7.5),Summer,Light green leaves,4 and warmer,Temperate Europe and Asia,
342,"Eucalyptus, silver dollar tree, argyle apple",Eucalyptus cinerea,Myrtaceae,Tree,,Full sun,Well-drained,Acidic to neutral (5.5 to 6.5),Rarely flowers,,8-11 (USDA),Australia,"Toxic to people, toxic to pets"
343,"Euphorbia, spurge",Euphorbia spp.,Euphorbiaceae,"Herbaceous, succulent",6-36 in. tall and wide,Full sun,"Sandy, well-drained",Neutral to Acidic (5.0 to 7.0),Varies by species,"Varies by species, often yellow or red","5-11, USA","Africa, Asia, North America, South America","Toxic to people, toxic to pets"
344,"Eureka lemon tree, lemon 'Garey's Eureka'",Citrus x limon 'Eureka',Rutaceae,Evergreen tree,Up to 20 ft. tall,"Full sun, partial shade","Loamy, sandy, clay","Well-drained, moist",Spring,,9-11 (USDA),California,Toxic to dogs and cats
345,,Fagus sylvatica,,Tree,"50-60 ft. tall, 35-50 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral",Spring,Yellow-green,4-7 (USDA),Europe,Toxic to humans and animals
346,"Evening primrose, common evening primrose, tree primrose, fever plant, cure-all, night willow-herb",Oenothera biennis,Onagraceae,"Herbaceous, biennial","3-5 ft. tall, 2-3 ft. wide","Full, partial",Moist but well-drained,Neutral to acidic,"Summer, fall",Yellow,"4, 5, 6, 7, 8, 9",North America,
347,"Fairy duster, false mesquite",Calliandra eriophylla,Fabaceae,"Perennial, shrub","one to three feet tall, one to three feet wide",Full sun,"Sandy, well-drained",6.0 to 8.0,Spring,Pink,"7-11, USDA","California, Arizona, New Mexico, Texas and Mexico",
348,False aralia,Plerandra elegantissima,Araliaceae,Perennial,"4-6 ft. tall, 1-2 ft. wide","Full, partial",Moist but well-drained,"Neutral, acidic","Fall, winter (rarely blooms indoors)","Yellow, green, gold",10-12 (USDA),South Pacific,
349,False cypress tree,Chamaecyparis,,Evergreen,"6-70 ft. tall, 4-20 ft. wide","Full, partial","Loamy, moist but well-drained","Acidic, neutral",Not Applicable,Not Applicable,"4-8, USA","North America, Asia",
350,,Osmanthus fragrans,Oleaceae,,,,,,,,,,
351,"Blue Wild Indigo, False Indigo",Baptisia australis,Fabaceae,Perennial,"4-5 ft. tall, 3-4 ft. wide","Full, partial","Moderately moist, well-draining","Slightly acidic, neutral (5.0-6.8)",Late spring to early summer,Blue,3-9 (USDA),North America (Eastern U.S.),"Mildly toxic to humans, animals"
352,,Dracaena fragrans,Asparagaceae,"Broadleaf, evergreen, shrub/tree","15-50 ft. tall, 3-10 ft. wide outdoors; container-grown plants can grow up to 6 ft. tall",Partial,"Moist, well-draining, loamy",6.1 to 6.5 (Acidic),Late fall and then again in late spring; nighttime bloomer,"White, yellow",10-12 (USDA),Africa (tropics),Toxic to dogs and cats
353,"Fan flower, scaevola, fairy fan flower",Scaevola aemula,Goodeniaceae,"Evergreen perennial/shrub, often grown as an annual","9-18 in. tall, 1-2 ft. wide","Full, partial","Average, well-drained",Acidic (5.5-6.0),Late spring to fall,"Blue, purple, white, pink",10-11 (USDA),Australia,
354,"Fava bean, faba bean, broad bean",Vicia faba,Fabaceae,"Annual, vegetable",,Full sun,"Loamy, moist, well-drained","Acidic, neutral (6.2 to 6.8)","Spring, summer",,2-10 (USDA),"Asia, Mediterranean",Toxic to people
